source_code,proxy_source,retrieval_date,retrieval_url,description
JME,WB_WDI, , , 
UN_IGME,WB_WDI, , , 
UNESCO,WB_WDI, , , 
UNICEF,WB_WDI, , , 
WHO_UNICEF_JMP_,WB_WDI, , , 
OECD_ed,WB_Edstats, , , 
UNPD_MPI,WB_WDI, , , 
UNPD,WB_WDI, , , 
WB_POVCAL,WB_WDI, , , 
FAOSTAT, , ,http://www.fao.org/faostat/en/#data/FS, 
LIS, , ,https://www.lisdatacenter.org/lis-ikf-webapp/app/search-ikf-figures, 
OECD, , ,https://stats.oecd.org/, 
EuroStats, , ,https://ec.europa.eu/eurostat/databrowser/view/ILC_LVHO07B__custom_477428/default/table?lang=en, 
OECD_unempl, , ,https://data.oecd.org/unemp/long-term-unemployment-rate.htm, 
WB_Edstats, , ,https://databank.worldbank.org/source/education-statistics-%5E-all-indicators, 
WB_WDI, , ,https://databank.worldbank.org/source/world-development-indicators, 
WHO_UNICEF_JMP, , ,https://washdata.org/data/household, 
Source_1, , , ,"2004 Fiji national nutrition survey: Main report. Suva, Fiji, 2007 (and additional analysis)."
Source_2, , , ,"2009-2010 Papua New Guinea household income and expenditure survey: Summary tables. Port Moresby: National Statistical Office, 2013 (and additional analysis)."
Source_3, , , ,2011 Education Managament Information System Data Vanuatu - MOET Annual Statistics Report 2015
Source_4, , , ,2011 Ministry of Education JEMCO Report - https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/e6/e6854741d080df451ddbe461d5f51652.pdf?sv=2015-12-11&sr=b&sig=eXYZ77gO0MYydAM0SxcMDsrzzcXAq8mxYmIgEYIBMpI%3D&se=2021-06-05T23%3A17%3A34Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22FSM_2011_National_JEMCO_Indicators.pdf%22
Source_5, , , ,2011 TONGA Education Management Information System
Source_6, , , ,"2012  Tuvalu Education Managament Information System data, Tuvalu Education Statistical Report 2015 - https://sdd.spc.int/digital_library/tuvalu-2015-education-statistical-report"
Source_7, , , ,2012 Education Managament Information System Data Vanuatu - MOET Annual Statistics Report 2015
Source_8, , , ,2012 Pacific Regional MDGs Tracking Report. Accessed from https://pacific-data.sprep.org/system/files/MDG%20Track%20Rpt%20web%2020122.pdf
Source_9, , , ,"2013  Tuvalu Education Managament Information System data, Tuvalu Education Statistical Report 2015 - https://sdd.spc.int/digital_library/tuvalu-2015-education-statistical-report"
